created_at,screen_name,followers_count,friends_count,posts_count,account_created_at,verified,profile_url,lang
08/01/2021,SneakEnergy,93751,,,30/05/2017,No,https://www.facebook.com/SneakEnergy/,en
08/01/2021,XGamerEnergy,4149,,,18/12/2014,No,https://www.facebook.com/XGamerEnergy/,en
08/01/2021,GFuelEnergy,266798,,,21/02/2013,Yes,https://www.facebook.com/GFuelEnergy/,en
